distributor_id,product,weekday,average_daily_litres_2025,growth_factor_2026,forecast_daily_litres
368318,Diesel,0,1977.4792307692308,1.02857811814937,2033.9918658640793
368318,Diesel,1,1878.9883333333335,1.02857811814937,1932.6862839246214
368318,Diesel,2,1999.9223076923079,1.02857811814937,2057.0763236910993
368318,Diesel,3,2288.8753846153845,1.02857811814937,2354.2871357861077
368318,Diesel,4,2185.6484615384616,1.02857811814937,2248.1101815052966
368318,Diesel,5,2077.236923076923,1.02857811814937,2136.600445288849
368318,Diesel,6,1750.8623076923077,1.02857811814937,1800.898657584817
368318,Verde,0,1110.33,1.02857811814937,1142.06114192479
368318,Verde,1,1044.45,1.02857811814937,1074.2984155011095
368318,Verde,2,1112.62,1.02857811814937,1144.416585815352
368318,Verde,3,1271.5984615384614,1.02857811814937,1307.9383526108647
368318,Verde,4,1288.3892307692308,1.02857811814937,1325.20897042853
368318,Verde,5,1217.6646153846154,1.02857811814937,1252.4631786293842
368318,Verde,6,1045.9707692307693,1.02857811814937,1075.8626454546336
368319,Diesel,0,164.14666666666665,2.036049028939,334.21066127024034
368319,Diesel,1,208.804,2.036049028939,425.1351814385789
368319,Diesel,2,195.22363636363636,2.036049028939,397.48489524412224
368319,Diesel,3,193.50545454545454,2.036049028939,393.9865928216725
368319,Diesel,4,210.2409090909091,2.036049028939,428.06079879779804
368319,Diesel,5,152.1109090909091,2.036049028939,309.70526874557396
368319,Diesel,6,200.13272727272727,2.036049028939,407.48004502255003
368319,Verde,0,190.26444444444445,2.036049028939,387.3877373527294
368319,Verde,1,187.217,2.036049028939,381.1829910508728
368319,Verde,2,216.17181818181817,2.036049028939,440.1364204930689
368319,Verde,3,237.42363636363635,2.036049028939,483.406164265348
368319,Verde,4,313.55181818181813,2.036049028939,638.4068749311486
368319,Verde,5,223.2290909090909,2.036049028939,454.50537377639023
368319,Verde,6,243.7381818181818,2.036049028939,496.2628884062664
368320,Diesel,0,1683.520909090909,0.8002392562205334,1347.2195201226252
368320,Diesel,1,1499.092,0.8002392562205334,1199.6322670861518
368320,Diesel,2,1532.8454545454545,0.8002392562205334,1226.6431064464798
368320,Diesel,3,1672.940909090909,0.8002392562205334,1338.752988791812
368320,Diesel,4,1942.1818181818182,0.8002392562205334,1554.2101336268615
368320,Diesel,5,1782.200909090909,0.8002392562205334,1426.1871299264674
368320,Diesel,6,1308.1963636363637,0.8002392562205334,1046.87008502677
368320,Verde,0,958.1327272727272,0.8002392562205334,766.7354210332784
368320,Verde,1,870.549,0.8002392562205334,696.6474842635291
368320,Verde,2,1024.629090909091,0.8002392562205334,819.9484216110122
368320,Verde,3,1092.0372727272727,0.8002392562205334,873.8910948923725
368320,Verde,4,1195.9336363636364,0.8002392562205334,957.0330436527543
368320,Verde,5,1067.171818181818,0.8002392562205334,853.9927820413324
368320,Verde,6,679.8418181818182,0.8002392562205334,544.0361109294333
368321,Diesel,0,568.9746153846154,0.7831270585808129,445.57941695330317
368321,Diesel,1,609.8583333333333,0.7831270585808129,477.59656273433023
368321,Diesel,2,610.3000000000001,0.7831270585808129,477.94244385187017
368321,Diesel,3,689.6046153846154,0.7831270585808129,540.0480340299066
368321,Diesel,4,724.8546153846154,0.7831270585808129,567.6532628448803
368321,Diesel,5,534.8484615384615,0.7831270585808129,418.8543024710884
368321,Diesel,6,500.0946153846154,0.7831270585808129,391.6376251582568
368321,Verde,0,443.29307692307697,0.7831270585808129,347.1548034200073
368321,Verde,1,448.1875,0.7831270585808129,350.98775856768805
368321,Verde,2,456.83384615384614,0.7831270585808129,357.7589461986211
368321,Verde,3,492.23692307692306,0.7831270585808129,385.4840536941006
368321,Verde,4,520.3392307692308,0.7831270585808129,407.4917312565105
368321,Verde,5,438.34153846153845,0.7831270585808129,343.27711966917286
368321,Verde,6,403.69999999999993,0.7831270585808129,316.1483935490741
368322,Diesel,0,548.6218181818182,0.967611159998931,530.8525938916317
368322,Diesel,1,579.678,0.967611159998931,560.9029020058604
368322,Diesel,2,574.2145454545454,0.967611159998931,555.6164024155315
368322,Diesel,3,648.8027272727272,0.967611159998931,627.7887595468336
368322,Diesel,4,668.9536363636363,0.967611159998931,647.2870040673212
368322,Diesel,5,622.9081818181818,0.967611159998931,602.7329083819159
368322,Diesel,6,513.0954545454546,0.967611159998931,496.47688796290606
368322,Verde,0,472.6972727272727,0.967611159998931,457.3871563919674
368322,Verde,1,432.09399999999994,0.967611159998931,418.09897656857805
368322,Verde,2,520.2454545454545,0.967611159998931,503.3953077568984
368322,Verde,3,497.7190909090909,0.967611159998931,481.5985469081588
368322,Verde,4,493.5363636363636,0.967611159998931,477.551293319836
368322,Verde,5,480.41636363636366,0.967611159998931,464.85623490065007
368322,Verde,6,351.52272727272725,0.967611159998931,340.1373139023515
