strategy,distributor_id,product,litres_sold,lost_sales_litres,purchase_litres,purchase_spend,cost_of_goods_sold,revenue,gross_margin,closing_inventory_litres,closing_implicit_cost_per_litre
AS_IS,368318,Diesel,47680.715288550346,0.0,33117.064394905465,48387.63839211011,70940.68870311117,78625.49951081949,7684.810807708334,5736.349106355128,1.4828159045577358
AS_IS,368318,Verde,27185.462872410455,0.0,24966.74787109399,34870.22452662794,39411.32697424954,43850.15161319807,4438.82463894852,7781.284998683539,1.4340687372672123
AS_IS,368319,Diesel,8910.810406704311,0.0,0.0,0.0,13633.539922257594,14604.818256588365,971.2783343307694,689.1895932956893,1.53
AS_IS,368319,Verde,10665.184762371417,0.0,7383.8963120955905,10396.526007430592,16253.709029763122,17096.291174081376,842.5821443182534,4718.711549724176,1.4204760996800645
AS_IS,368320,Diesel,29844.82106661414,0.0,0.0,0.0,45385.01939600011,49214.109938846705,3829.0905428465967,17955.17893338586,1.5207
AS_IS,368320,Verde,18053.44898114568,0.0,12541.164622721964,17657.959788792527,27496.760644862195,28939.678716776525,1442.918071914327,8487.715641576287,1.4245056802686313
AS_IS,368321,Diesel,10913.473950717109,0.0,9120.717902019347,13734.068224039753,16656.41347118977,17996.31854473251,1339.9050735427381,7807.243951302239,1.507017691036474
AS_IS,368321,Verde,8233.655123831832,0.0,0.0,0.0,12926.83854441598,13198.54916350243,271.7106190864504,566.3448761681682,1.57
AS_IS,368322,Diesel,13181.491679237393,0.0,12625.875276821862,19593.59080708877,20178.958080607812,21736.279779062457,1557.321698454647,13044.383597584469,1.5502942377611266
AS_IS,368322,Verde,10350.568773570796,0.0,8971.687332853353,12961.39668977324,16088.927046136834,16591.961744033986,503.0346978971545,8221.118559282557,1.4529007892909873
WIDGET,368318,Diesel,47680.715288550346,0.0,60323.63896485925,87975.29364938015,70525.03599943727,78625.49951081949,8100.4635113822205,32942.9236763089,1.472524361425412
WIDGET,368318,Verde,27185.462872410455,0.0,44966.74787109399,62021.57008552,39113.27100669404,43850.15161319807,4736.880606504026,27781.284998683535,1.3897233004396836
WIDGET,368319,Diesel,8910.810406704311,0.0,8913.32551146019,13061.12397896662,13401.934076979245,14604.818256588365,1202.8841796091206,9602.515104755877,1.4941075067803409
WIDGET,368319,Verde,10665.184762371417,0.0,11843.865350827477,16438.72373831543,15831.166828093676,17096.291174081376,1265.1243459877041,9178.680588456058,1.4345805786925914
WIDGET,368320,Diesel,29844.82106661414,0.0,30818.177960167668,45138.53922376849,44863.673607469354,49214.109938846705,4350.436331377365,48773.35689355352,1.495987364075467
WIDGET,368320,Verde,18053.44898114568,0.0,52536.85307527114,72259.4194196991,26289.315319703852,28939.678716776525,2650.3633970726664,48483.40409412546,1.4004731179389764
WIDGET,368321,Diesel,10913.473950717109,0.0,10835.531506865242,15880.421181538293,16371.430242042954,17996.31854473251,1624.888302689553,9522.05755614813,1.4909583202769785
WIDGET,368321,Verde,8233.655123831832,0.0,8724.908419065521,12111.79080893508,12379.940833247641,13198.54916350243,818.6083302547866,9291.253295233691,1.458129441228057
WIDGET,368322,Diesel,13181.491679237393,0.0,13025.875276821862,19093.75941573771,19818.428930198912,21736.279779062457,1917.8508488635487,13444.383597584469,1.49380820174955
WIDGET,368322,Verde,10350.568773570796,0.0,13829.074489245315,19137.968369761,15390.75910223783,16591.961744033986,1201.202641796157,13078.505715674524,1.4389418544175454
