distributor_id,product,as_is_supplier_spend_eur,cuebit_supplier_spend_eur,estimated_saving_eur,estimated_saving_percent,as_is_litres_purchased,cuebit_litres_purchased,as_is_average_purchase_price_eur_per_litre,cuebit_average_purchase_price_eur_per_litre,as_is_orders,cuebit_orders,as_is_closing_inventory_litres,cuebit_closing_inventory_litres,as_is_lost_sales_litres,cuebit_lost_sales_litres
368318,Diesel,72284.40880554041,71134.94160273817,1149.467202802247,1.5902007387160693,47680.71528855033,47680.71528855033,1.5160093209192735,1.491901729499011,10,5,20300.0,20300.0,0.0,0.0
368318,Verde,38617.43330740351,38023.00095218533,594.4323552181813,1.539284992056218,27185.46287241045,27185.462872410455,1.420517777778761,1.398651960815922,11,5,10000.0,10000.0,0.0,0.0
368319,Diesel,13828.33023774815,13828.33023774815,0.0,0.0,8910.810406704311,8910.810406704311,1.5518599999999998,1.5518599999999998,1,1,9600.0,9600.0,0.0,0.0
368319,Verde,15396.886015216576,15194.494919962895,202.39109525368076,1.314493690825923,10665.184762371415,10665.184762371415,1.4436586292943943,1.4246818276952553,4,4,8000.0,8000.0,1.1368683772161603e-13,0.0
368320,Diesel,46314.984020435804,46314.984020435804,0.0,0.0,29844.821066614135,29844.821066614135,1.5518599999999998,1.5518599999999998,1,1,47800.0,47800.0,0.0,0.0
368320,Verde,26080.170718996098,25762.229365994586,317.94135300151174,1.2190922997675462,18053.448981145677,18053.44898114568,1.4446087695616068,1.4269976552901142,4,4,14000.0,14000.0,0.0,0.0
368321,Diesel,16796.42390077177,16659.112931421023,137.31096935074675,0.8175012143176353,10835.531506865236,10835.531506865236,1.5501245961150865,1.5374523087184093,3,4,9522.05755614813,9522.05755614813,2.2737367544323206e-13,0.0
368321,Verde,11902.077827703866,11902.077827703866,0.0,0.0,8233.655123831832,8233.655123831832,1.44554,1.44554,1,1,8800.0,8800.0,0.0,0.0
368322,Diesel,20214.334807088773,20214.334807088773,0.0,0.0,13025.875276821862,13025.875276821862,1.5518599999999998,1.5518599999999998,1,1,13444.383597584469,13444.383597584469,0.0,0.0
368322,Verde,14961.533364344363,14906.98245405957,54.550910284793645,0.364607750799105,10350.568773570798,10350.568773570796,1.445479344337794,1.4402090146121387,2,3,9600.0,9600.0,0.0,0.0
