distributor_id,product,as_is_purchase_spend,widget_purchase_spend,as_is_cogs,widget_cogs,estimated_cogs_saving,as_is_gross_margin,widget_gross_margin,estimated_margin_uplift,as_is_lost_sales_litres,widget_lost_sales_litres,as_is_closing_inventory_litres,widget_closing_inventory_litres,as_is_closing_implicit_cost_per_litre,widget_closing_implicit_cost_per_litre
368318,Diesel,48387.63839211011,87975.29364938015,70940.68870311117,70525.03599943727,415.65270367389894,7684.810807708334,8100.4635113822205,415.6527036738862,0.0,0.0,5736.349106355128,32942.9236763089,1.4828159045577358,1.472524361425412
368318,Verde,34870.22452662794,62021.57008552,39411.32697424954,39113.27100669404,298.0559675554978,4438.82463894852,4736.880606504026,298.05596755550596,0.0,0.0,7781.284998683539,27781.284998683535,1.4340687372672123,1.3897233004396836
368319,Diesel,0.0,13061.12397896662,13633.539922257594,13401.934076979245,231.60584527834908,971.2783343307694,1202.8841796091206,231.60584527835113,0.0,0.0,689.1895932956893,9602.515104755877,1.53,1.4941075067803409
368319,Verde,10396.526007430592,16438.72373831543,16253.709029763122,15831.166828093676,422.5422016694465,842.5821443182534,1265.1243459877041,422.5422016694507,0.0,0.0,4718.711549724176,9178.680588456058,1.4204760996800645,1.4345805786925914
368320,Diesel,0.0,45138.53922376849,45385.01939600011,44863.673607469354,521.345788530758,3829.0905428465967,4350.436331377365,521.345788530768,0.0,0.0,17955.17893338586,48773.35689355352,1.5207,1.495987364075467
368320,Verde,17657.959788792527,72259.4194196991,27496.760644862195,26289.315319703852,1207.4453251583436,1442.918071914327,2650.3633970726664,1207.4453251583395,0.0,0.0,8487.715641576287,48483.40409412546,1.4245056802686313,1.4004731179389764
368321,Diesel,13734.068224039753,15880.421181538293,16656.41347118977,16371.430242042954,284.9832291468174,1339.9050735427381,1624.888302689553,284.9832291468149,0.0,0.0,7807.243951302239,9522.05755614813,1.507017691036474,1.4909583202769785
368321,Verde,0.0,12111.79080893508,12926.83854441598,12379.940833247641,546.897711168338,271.7106190864504,818.6083302547866,546.8977111683362,0.0,0.0,566.3448761681682,9291.253295233691,1.57,1.458129441228057
368322,Diesel,19593.59080708877,19093.75941573771,20178.958080607812,19818.428930198912,360.5291504089,1557.321698454647,1917.8508488635487,360.5291504089016,0.0,0.0,13044.383597584469,13444.383597584469,1.5502942377611266,1.49380820174955
368322,Verde,12961.39668977324,19137.968369761,16088.927046136834,15390.75910223783,698.167943899005,503.0346978971545,1201.202641796157,698.1679438990025,0.0,0.0,8221.118559282557,13078.505715674524,1.4529007892909873,1.4389418544175454
