distributor_id,product,as_is_supplier_spend_eur,operational_supplier_spend_eur,combined_supplier_spend_eur,operational_saving_vs_as_is_eur,combined_saving_vs_as_is_eur,external_incremental_saving_vs_operational_eur,as_is_litres_purchased,operational_litres_purchased,combined_litres_purchased,as_is_orders,operational_orders,combined_orders,as_is_closing_inventory_litres,operational_closing_inventory_litres,combined_closing_inventory_litres,as_is_lost_sales_litres,operational_lost_sales_litres,combined_lost_sales_litres,same_litres_as_is_vs_combined,same_closing_inventory_as_is_vs_combined
368318,Diesel,72284.40880554041,71134.94160273817,70564.66223497517,1149.467202802247,1719.746570565243,570.2793677629961,47680.71528855033,47680.71528855033,47680.71528855033,10,5,4,20300.0,20300.0,20300.0,0.0,0.0,0.0,True,True
368318,Verde,38617.43330740351,38023.00095218533,37822.31223028933,594.4323552181813,795.1210771141778,200.68872189599642,27185.46287241045,27185.462872410455,27185.46287241045,11,5,4,10000.0,10000.0,10000.0,0.0,0.0,0.0,True,True
368319,Diesel,13828.33023774815,13828.33023774815,13828.33023774815,0.0,0.0,0.0,8910.810406704311,8910.810406704311,8910.810406704311,1,1,1,9600.0,9600.0,9600.0,0.0,0.0,0.0,True,True
368319,Verde,15396.886015216576,15194.494919962895,15194.494919962895,202.39109525368076,202.39109525368076,0.0,10665.184762371415,10665.184762371415,10665.184762371415,4,4,4,8000.0,8000.0,8000.0,1.1368683772161603e-13,0.0,0.0,True,True
368320,Diesel,46314.984020435804,46314.984020435804,46314.984020435804,0.0,0.0,0.0,29844.821066614135,29844.821066614135,29844.821066614135,1,1,1,47800.0,47800.0,47800.0,0.0,0.0,0.0,True,True
368320,Verde,26080.170718996098,25762.229365994586,25762.229365994586,317.94135300151174,317.94135300151174,0.0,18053.448981145677,18053.44898114568,18053.44898114568,4,4,4,14000.0,14000.0,14000.0,0.0,0.0,0.0,True,True
368321,Diesel,16796.42390077177,16659.112931421023,16659.112931421023,137.31096935074675,137.31096935074675,0.0,10835.531506865236,10835.531506865236,10835.531506865236,3,4,4,9522.05755614813,9522.05755614813,9522.05755614813,2.2737367544323206e-13,0.0,0.0,True,True
368321,Verde,11902.077827703866,11902.077827703866,11902.077827703866,0.0,0.0,0.0,8233.655123831832,8233.655123831832,8233.655123831832,1,1,1,8800.0,8800.0,8800.0,0.0,0.0,0.0,True,True
368322,Diesel,20214.334807088773,20214.334807088773,20214.334807088773,0.0,0.0,0.0,13025.875276821862,13025.875276821862,13025.875276821862,1,1,1,13444.383597584469,13444.383597584469,13444.383597584469,0.0,0.0,0.0,True,True
368322,Verde,14961.533364344363,14906.98245405957,14906.98245405957,54.550910284793645,54.550910284793645,0.0,10350.568773570798,10350.568773570796,10350.568773570796,2,3,3,9600.0,9600.0,9600.0,0.0,0.0,0.0,True,True
