date,strategy,distributor_id,product,opening_inventory_litres,purchase_litres,purchase_total_eur,sales_litres,lost_sales_litres,closing_inventory_litres,regime
2026-06-16,WIDGET_FULL,368318,Diesel,20300.0,0.0,0.0,1932.6862839246214,0.0,18367.31371607538,Insufficient history
2026-06-16,WIDGET_FULL,368318,Verde,10000.0,0.0,0.0,1074.2984155011095,0.0,8925.701584498891,Insufficient history
2026-06-16,WIDGET_FULL,368319,Diesel,9600.0,0.0,0.0,425.1351814385789,0.0,9174.864818561422,Insufficient history
2026-06-16,WIDGET_FULL,368319,Verde,8000.0,0.0,0.0,381.1829910508728,0.0,7618.817008949127,Insufficient history
2026-06-16,WIDGET_FULL,368320,Diesel,47800.0,0.0,0.0,1199.6322670861518,0.0,46600.367732913845,Insufficient history
2026-06-16,WIDGET_FULL,368320,Verde,14000.0,0.0,0.0,696.6474842635291,0.0,13303.352515736471,Insufficient history
2026-06-16,WIDGET_FULL,368321,Diesel,9600.0,0.0,0.0,477.59656273433023,0.0,9122.40343726567,Insufficient history
2026-06-16,WIDGET_FULL,368321,Verde,8800.0,0.0,0.0,350.98775856768805,0.0,8449.012241432312,Insufficient history
2026-06-16,WIDGET_FULL,368322,Diesel,13600.0,0.0,0.0,560.9029020058604,0.0,13039.09709799414,Insufficient history
2026-06-16,WIDGET_FULL,368322,Verde,9600.0,0.0,0.0,418.09897656857805,0.0,9181.901023431423,Insufficient history
2026-06-17,WIDGET_FULL,368318,Diesel,18367.31371607538,0.0,0.0,2057.0763236910993,0.0,16310.23739238428,Insufficient history
2026-06-17,WIDGET_FULL,368318,Verde,8925.701584498891,0.0,0.0,1144.416585815352,0.0,7781.284998683539,Insufficient history
2026-06-17,WIDGET_FULL,368319,Diesel,9174.864818561422,0.0,0.0,397.48489524412224,0.0,8777.3799233173,Insufficient history
2026-06-17,WIDGET_FULL,368319,Verde,7618.817008949127,0.0,0.0,440.1364204930689,0.0,7178.680588456058,Insufficient history
2026-06-17,WIDGET_FULL,368320,Diesel,46600.367732913845,0.0,0.0,1226.6431064464798,0.0,45373.72462646737,Insufficient history
2026-06-17,WIDGET_FULL,368320,Verde,13303.352515736471,0.0,0.0,819.9484216110122,0.0,12483.404094125459,Insufficient history
2026-06-17,WIDGET_FULL,368321,Diesel,9122.40343726567,0.0,0.0,477.94244385187017,0.0,8644.460993413799,Insufficient history
2026-06-17,WIDGET_FULL,368321,Verde,8449.012241432312,0.0,0.0,357.7589461986211,0.0,8091.2532952336915,Insufficient history
2026-06-17,WIDGET_FULL,368322,Diesel,13039.09709799414,0.0,0.0,555.6164024155315,0.0,12483.480695578608,Insufficient history
2026-06-17,WIDGET_FULL,368322,Verde,9181.901023431423,0.0,0.0,503.3953077568984,0.0,8678.505715674524,Insufficient history
2026-06-18,WIDGET_FULL,368318,Diesel,16310.23739238428,0.0,0.0,2354.2871357861077,0.0,13955.950256598173,Falling
2026-06-18,WIDGET_FULL,368318,Verde,7781.284998683539,0.0,0.0,1307.9383526108647,0.0,6473.346646072674,Falling
2026-06-18,WIDGET_FULL,368319,Diesel,8777.3799233173,0.0,0.0,393.9865928216725,0.0,8383.393330495626,Falling
2026-06-18,WIDGET_FULL,368319,Verde,7178.680588456058,0.0,0.0,483.406164265348,0.0,6695.27442419071,Falling
2026-06-18,WIDGET_FULL,368320,Diesel,45373.72462646737,0.0,0.0,1338.752988791812,0.0,44034.97163767555,Falling
2026-06-18,WIDGET_FULL,368320,Verde,12483.404094125459,0.0,0.0,873.8910948923725,0.0,11609.512999233086,Falling
2026-06-18,WIDGET_FULL,368321,Diesel,8644.460993413799,0.0,0.0,540.0480340299066,0.0,8104.4129593838925,Falling
2026-06-18,WIDGET_FULL,368321,Verde,8091.2532952336915,0.0,0.0,385.4840536941006,0.0,7705.76924153959,Falling
2026-06-18,WIDGET_FULL,368322,Diesel,12483.480695578608,0.0,0.0,627.7887595468336,0.0,11855.691936031775,Falling
2026-06-18,WIDGET_FULL,368322,Verde,8678.505715674524,0.0,0.0,481.5985469081588,0.0,8196.907168766365,Falling
2026-06-19,WIDGET_FULL,368318,Diesel,13955.950256598173,0.0,0.0,2248.1101815052966,0.0,11707.840075092876,Falling
2026-06-19,WIDGET_FULL,368318,Verde,6473.346646072674,0.0,0.0,1325.20897042853,0.0,5148.137675644144,Falling
2026-06-19,WIDGET_FULL,368319,Diesel,8383.393330495626,0.0,0.0,428.06079879779804,0.0,7955.332531697828,Falling
2026-06-19,WIDGET_FULL,368319,Verde,6695.27442419071,0.0,0.0,638.4068749311486,0.0,6056.867549259561,Falling
2026-06-19,WIDGET_FULL,368320,Diesel,44034.97163767555,0.0,0.0,1554.2101336268615,0.0,42480.76150404869,Falling
2026-06-19,WIDGET_FULL,368320,Verde,11609.512999233086,0.0,0.0,957.0330436527543,0.0,10652.479955580331,Falling
2026-06-19,WIDGET_FULL,368321,Diesel,8104.4129593838925,0.0,0.0,567.6532628448803,0.0,7536.759696539012,Falling
2026-06-19,WIDGET_FULL,368321,Verde,7705.76924153959,0.0,0.0,407.4917312565105,0.0,7298.27751028308,Falling
2026-06-19,WIDGET_FULL,368322,Diesel,11855.691936031775,0.0,0.0,647.2870040673212,0.0,11208.404931964455,Falling
2026-06-19,WIDGET_FULL,368322,Verde,8196.907168766365,0.0,0.0,477.551293319836,0.0,7719.355875446529,Falling
