date,strategy,distributor_id,product,quotation_eur_per_litre,inventory_before_litres,purchase_litres,purchase_spend_eur,selected_cover_days,operational_required_litres,discretionary_litres,internal_signal_score,internal_signal_confidence,internal_expected_change_eur_per_litre_day,external_signal_score,external_signal_confidence,external_expected_change_eur_per_litre_day,combined_signal_score,combined_signal_confidence,combined_expected_change_eur_per_litre_day,combined_uncertainty_eur_per_litre_day,candidates_evaluated,selected_expected_cost_eur,required_only_expected_cost_eur,expected_advantage_eur,downside_cost_eur,patterns_used,external_drivers,external_themes,caveats,reason
2026-06-17,WIDGET_FULL,368318,Verde,1.384,8925.701584498891,0.0,0.0,7.0,0.0,0.0,0.030837004405286365,0.6000000000000001,0.0002590308370044055,-0.6761695646430526,0.7906904305958895,-0.0011484245646908426,-0.33597048360506143,0.679643292887093,-0.00047118186961491777,0.014755205980768604,9,10647.245878579633,10647.245878579633,0.0,0.0,P02 streak 1 | P07 price percentile 0.00,Crude | Currency | Geopolitics | LOCAL_COMPETITOR_PRICING,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability. | Internal and external evidence disagree; discretionary volume is penalised.",Operational minimum: objective improvement is below action threshold
2026-06-17,WIDGET_FULL,368319,Diesel,1.478,9174.864818561422,0.0,0.0,14.0,0.0,0.0,0.030837004405286365,0.6000000000000001,0.0002775330396475773,-0.4764070181938551,0.7505427045879929,-0.0007528039545259565,-0.22572640849338424,0.6615768161835396,-0.00024361016536525768,0.015238292798982,2,0.0,0.0,0.0,0.0,P02 streak 1 | P07 price percentile 0.00,Crude | Currency | Geopolitics | LOCAL_COMPETITOR_PRICING,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability. | Internal and external evidence disagree; discretionary volume is penalised.",Operational minimum: objective improvement is below action threshold
2026-06-17,WIDGET_FULL,368319,Verde,1.384,7618.817008949127,0.0,0.0,14.0,0.0,0.0,0.030837004405286365,0.6000000000000001,0.0002590308370044055,-0.6761695646430526,0.7906904305958895,-0.0011484245646908426,-0.33597048360506143,0.679643292887093,-0.00047118186961491777,0.014755205980768604,2,0.0,0.0,0.0,0.0,P02 streak 1 | P07 price percentile 0.00,Crude | Currency | Geopolitics | LOCAL_COMPETITOR_PRICING,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability. | Internal and external evidence disagree; discretionary volume is penalised.",Operational minimum: objective improvement is below action threshold
2026-06-17,WIDGET_FULL,368320,Diesel,1.478,46600.367732913845,0.0,0.0,14.0,0.0,0.0,0.030837004405286365,0.6000000000000001,0.0002775330396475773,-0.4764070181938551,0.7505427045879929,-0.0007528039545259565,-0.22572640849338424,0.6615768161835396,-0.00024361016536525768,0.015238292798982,2,0.0,0.0,0.0,0.0,P02 streak 1 | P07 price percentile 0.00,Crude | Currency | Geopolitics | LOCAL_COMPETITOR_PRICING,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability. | Internal and external evidence disagree; discretionary volume is penalised.",Operational minimum: objective improvement is below action threshold
2026-06-17,WIDGET_FULL,368320,Verde,1.384,13303.352515736471,0.0,0.0,14.0,0.0,0.0,0.030837004405286365,0.6000000000000001,0.0002590308370044055,-0.6761695646430526,0.7906904305958895,-0.0011484245646908426,-0.33597048360506143,0.679643292887093,-0.00047118186961491777,0.014755205980768604,2,0.0,0.0,0.0,0.0,P02 streak 1 | P07 price percentile 0.00,Crude | Currency | Geopolitics | LOCAL_COMPETITOR_PRICING,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability. | Internal and external evidence disagree; discretionary volume is penalised.",Operational minimum: objective improvement is below action threshold
2026-06-17,WIDGET_FULL,368321,Diesel,1.478,9122.40343726567,0.0,0.0,14.0,0.0,0.0,0.030837004405286365,0.6000000000000001,0.0002775330396475773,-0.4764070181938551,0.7505427045879929,-0.0007528039545259565,-0.22572640849338424,0.6615768161835396,-0.00024361016536525768,0.015238292798982,2,0.0,0.0,0.0,0.0,P02 streak 1 | P07 price percentile 0.00,Crude | Currency | Geopolitics | LOCAL_COMPETITOR_PRICING,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability. | Internal and external evidence disagree; discretionary volume is penalised.",Operational minimum: objective improvement is below action threshold
2026-06-17,WIDGET_FULL,368321,Verde,1.384,8449.012241432312,0.0,0.0,14.0,0.0,0.0,0.030837004405286365,0.6000000000000001,0.0002590308370044055,-0.6761695646430526,0.7906904305958895,-0.0011484245646908426,-0.33597048360506143,0.679643292887093,-0.00047118186961491777,0.014755205980768604,2,0.0,0.0,0.0,0.0,P02 streak 1 | P07 price percentile 0.00,Crude | Currency | Geopolitics | LOCAL_COMPETITOR_PRICING,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability. | Internal and external evidence disagree; discretionary volume is penalised.",Operational minimum: objective improvement is below action threshold
2026-06-17,WIDGET_FULL,368322,Diesel,1.478,13039.09709799414,0.0,0.0,14.0,0.0,0.0,0.030837004405286365,0.6000000000000001,0.0002775330396475773,-0.4764070181938551,0.7505427045879929,-0.0007528039545259565,-0.22572640849338424,0.6615768161835396,-0.00024361016536525768,0.015238292798982,2,0.0,0.0,0.0,0.0,P02 streak 1 | P07 price percentile 0.00,Crude | Currency | Geopolitics | LOCAL_COMPETITOR_PRICING,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability. | Internal and external evidence disagree; discretionary volume is penalised.",Operational minimum: objective improvement is below action threshold
2026-06-17,WIDGET_FULL,368322,Verde,1.384,9181.901023431423,0.0,0.0,14.0,0.0,0.0,0.030837004405286365,0.6000000000000001,0.0002590308370044055,-0.6761695646430526,0.7906904305958895,-0.0011484245646908426,-0.33597048360506143,0.679643292887093,-0.00047118186961491777,0.014755205980768604,2,0.0,0.0,0.0,0.0,P02 streak 1 | P07 price percentile 0.00,Crude | Currency | Geopolitics | LOCAL_COMPETITOR_PRICING,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability. | Internal and external evidence disagree; discretionary volume is penalised.",Operational minimum: objective improvement is below action threshold
2026-06-18,WIDGET_FULL,368318,Diesel,1.465,16310.23739238428,0.0,0.0,7.0,0.0,0.0,-0.3623978201634877,0.6333333333333333,-0.003213260672116257,-0.7144096523777111,0.7264107921798583,-0.0011401852058925206,-0.5328128637578984,0.7114579718306183,-0.002209648822682673,0.01558241359447109,9,18493.909815677092,18493.909815677092,0.0,0.0,P01 falling | P02 streak 2 | P07 price percentile 0.00,Crude | Currency | Geopolitics | LOCAL_COMPETITOR_PRICING,HORMUZ_RECOVERY,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum: objective improvement is below action threshold
